Language,ProjectName,CommitHash,List_of_CI_impacted_files,Commit_Message
C,256dpi/arduino-mqtt,https://github.com/256dpi/arduino-mqtt/commit/aa845e9af051c306f01073bf492927428b58c0bf,[.travis.yml],cleanup build matrix
C,AOMediaCodec/SVT-AV1,https://github.com/AOMediaCodec/SVT-AV1/commit/592a584827e16c741f94e986a526b5179ad65dda,[.travis.yml],[WIP] CI: Add coding style check to Travis  cleanup (#293)  * CI: Add coding style check to Travis  cleanup  - Add coding style check (Borrowed from dav1d's [.gitlab-ci.yml](https://code.videolan.org/videolan/dav1d/blob/master/.gitlab-ci.yml)) - Fixes coding style error (trailing white space) in "name: unittest"  For now the Style check is allowed to fail (waiting on #248)  but that should be reversed as soon as possible.  * CI: Rewrite Style check from dav1d to SVT-AV1  * CI: Fix SVT-AV1.git in Style check
C,AOMediaCodec/SVT-AV1,https://github.com/AOMediaCodec/SVT-AV1/commit/ef7ca87d525cd8b914ba2ca49af3aae153189a7d,[.travis.yml],Travis: Add GCC 8 and GCC 9 builds  cleanup   - Adds dedicated GCC 8 and GCC 9 builds  - Removes redundant environment variables  - Adds some layout improvements and documentation
C,AOMediaCodec/SVT-AV1,https://github.com/AOMediaCodec/SVT-AV1/commit/01faf65972f0181ade5df274dd8f3fa15eab0fc7,[.travis.yml],Travis: Use Python3 instead  Add clang10 build  Travis: Specify Linux as default os  remove unsupported pip cache Travis: git depth of 5 and clone quietly Travis: Add toolchain and llvm sourceline  add python3 stuff Travis: Combine coveralls and valgrind stages Travis: use switch case for installing CC Travis: Remove installing cpp-coveralls for all Travis: Move Anchor definitions down Travis: Fix Style Check job Travis: Make ffmpeg build static lib Travis: Binary Identical just checkout upstream master Travis: Print ccache stat and clean up cache Travis: Print out cpu info
C,AOMediaCodec/SVT-AV1,https://github.com/AOMediaCodec/SVT-AV1/commit/899ce25332def66a946e0b087e034172437639c3,[.travis.yml],Travis-ci: Cleanup old jobs and yaml files (#1282)  Removed the ffmpeg  gstreamer and binary identical jobs Removed references to deleted jobs
C,ARMmbed/mbed-os,https://github.com/ARMmbed/mbed-os/commit/b7c15989ced57f38fb2bd15840681e9371fd2117,[.travis.yml],Split out "docs" into its own Travis job  And some cleanup
C,ARMmbed/mbed-os,https://github.com/ARMmbed/mbed-os/commit/8b54e8c47d5247e3555a310c14765090e03a5d34,[.travis.yml],Travis: Minor cleanup  language -> python pip --user installs -> virtual env installs
C,ARMmbed/mbed-os,https://github.com/ARMmbed/mbed-os/commit/32a8b401b2ec9ba4e63a649e86e852f92e5cbc21,[.travis.yml],Split out "docs" into its own Travis job  And some cleanup
C,ARMmbed/mbed-os,https://github.com/ARMmbed/mbed-os/commit/bc16f2f29dffff7356b9c60a28cb91e38deb08d6,[.travis.yml],Travis: Minor cleanup  language -> python pip --user installs -> virtual env installs
C,ARMmbed/mbed-os,https://github.com/ARMmbed/mbed-os/commit/7a36f93bf5bdfdc789a0f3adbc8022bf5909293c,[.travis.yml],Removed nearly all usage of 'apt-get'.  Primary cause of false Travis CI failures was running 'apt-get update'. Refactored all instances where this was needed with manually fetching and installing dependencies in S3 instace.  This also includes GCC installation.
C,ARMmbed/mbed-os,https://github.com/ARMmbed/mbed-os/commit/397ee3074ab174c36e8f539e90ec3ee820eedf98,[.travis.yml],Removed nearly all usage of 'apt-get'.  Primary cause of false Travis CI failures was running 'apt-get update'. Refactored all instances where this was needed with manually fetching and installing dependencies in S3 instace.  This also includes GCC installation.
C,ClusterLabs/pacemaker,https://github.com/ClusterLabs/pacemaker/commit/38a7c5df7c01ffeb114dfd28e0418b90066930bc,[.travis.yml],Test: travis: build up a test matrix incl. no-compile item; cleanup  - drop chrpath and perl packages as dependencies completely - restructure for readability  minimize separate invocations - add no-compile (maintenance only) test item to the matrix   that runs xml/regression.sh (without any switch and with -B/-S)   once all the RNG files are generated (bypassing full-fledged   configuration); it also sanity-checks that RNG files  unchecked   so far  validate per public relaxng.rng schema themselves
C,ClusterLabs/pacemaker,https://github.com/ClusterLabs/pacemaker/commit/7918bf80cc01938e42a5549d7fa86ccc82ef3b3b,[.gitlab-ci.yml],CI: kick off .gitlab-ci.yml for integration with GitLab CI  We start with a matrix similar to that in .travis.yml: * build + tests  using   - gcc   - clang * various compilation-free immediate maintenance checks  All using Fedora Rawhide  for various reasons: - spot the possible breakages down the line early   (incompatibility in the surrounding software  etc.) - is reasonably trimmed down (now that glibc-all-langpacks   doesn't hog the installation) - close familiarity on the side of developer(s)  at least me :-)  As an extra  experimental measure  we put some hard time limits on some time-criticial execution  since when they get breached regularly  we shall reconsider whether just to bump that value or to change the approach/restructure whole pipeline. Conversely  when we are blocked on an RPM repo mirror  we shall rather give up early.  Another notable point is trying hard to cache the floating bits  so that we  e.g.  do not have to run the full round trip to redownload the packages from an RPM repo mirror all the time. And yet another  we don't (in an outlook  by uncommenting the respective part of the config  actually  since we are currently after the compatibility as back as GitLab 10.8) trigger full-fledged build + test jobs when there's not reason -- neither of relevant source files got changed  meaning another optimization for as lightweight testing as possible.  Unlike with .travis.yml  some properties of the CI run are configured directly in the web interface of the project within GitLab instance (e.g. CI verdict notifications).  Note that thanks to the staged approach  it might be viable (cf. build-once-reuse-arbitrarily) to consider replaying some very basic two node scenarios  for instance; all that's needed: - addressability of the other peer (introspection via API?) - ability to run corosync with some very loose parameters   (note that plain udpu appears more container-friendly   than kronosnet mediation) - ssh-based inter-communication? - way to synchronize initially (since even within the same stage    the individual starts may be triggered in a lockstep for waiting   on free capacities)  TODO: - extend the range of tests ("exec" set omitted as it requires   more dependencies and perhaps some extra fiddling) - verify coverage measurement works as expected   (test jobs seem to regenerate binaries lazily  perhaps because   we trim down the artifacts carried between stages  and hence   possibly without proper flags?) - fix coverage not working with clang - generate coverage report in a nice format to be stored   as an artifact for later perusal - add automated "git bisect" over the tests fallback for convenience - possibly extend over other distributions (Debian/Ubuntu ecosystem   is satisfactorily saturated with Travis CI  though  IMHO)
C,Cyan4973/xxHash,https://github.com/Cyan4973/xxHash/commit/b6c63d553921f015c13af752b27b660482d8f032,[appveyor.yml],minor cleanup for Visual  still some issues running tests
C,DPDK/dpdk,https://github.com/DPDK/dpdk/commit/9135705bb81df0b529821a121004c41f176995ff,[.travis.yml],ci: fix Travis config warnings  Reading https://config.travis-ci.com/ and using https://config.travis-ci.com/explore to check changes  we can cleanup some warnings reported by the config validation options in Travis.  Example on a job in master: https://travis-ci.com/DPDK/dpdk/builds/149537002/config  Build config validation: root: deprecated key doc_packages (anchor on a non-private key) root: deprecated key build_32b_packages (anchor on a non-private key) root: deprecated key libabigail_build_packages (anchor on a non-private key) root: deprecated key extra_packages (anchor on a non-private key) root: deprecated key aarch64_packages (anchor on a non-private key) root: key matrix is an alias for jobs  using jobs  For the "(anchor on a non-private key)" warnings  the Travis documentation [1] recommends prefixing private keys with _ (Travis schema is available at [2]).  The use of the "matrix" key is allowed  but it is just an alias to the "jobs" key.  1: https://docs.travis-ci.com/user/build-config-yaml#private-keys-as-yaml-anchors-and-aliases-and-external-tooling 2: https://github.com/travis-ci/travis-yml/blob/730a77f4028b91293a55c8c1c52fc72e64379dde/schema.json  Signed-off-by: David Marchand <david.marchand@redhat.com> Acked-by: Aaron Conole <aconole@redhat.com>
C,DeviationTX/deviation,https://github.com/DeviationTX/deviation/commit/346c485d1ad209295c9272f0f13d8c117ff5e70e,[.travis.yml],Cleanup travis build to only setup needed pre-requisites and cleanly support deployong with API/Cron
C,FALCONN-LIB/FALCONN,https://github.com/FALCONN-LIB/FALCONN/commit/353ab32eeee090d392b98f38384f5134aea81944,[.travis.yml],clean up Travis config
C,FluidSynth/fluidsynth,https://github.com/FluidSynth/fluidsynth/commit/6ddf9448e330b26eb1213f0c86ac37960babc2ab,[.travis.yml],cleanup travis
C,FluidSynth/fluidsynth,https://github.com/FluidSynth/fluidsynth/commit/c0ff5a0af1d699834d080d3aee929c6c43b2e29a,[.appveyor.yml;.travis.yml],Optimize Travis and AppVeyor CI builds (#451)  * cleanup unneeded compiler variations (now builds in 7 min rather than 13 min) * Windows:   * use VS2017 for vcpkg  VS2015 for manual build * Linux:   * install alsa  jack  pulse  portaudio  ladspa  libsndfile for all builds * MacOSX:   * use AppleClang   * reorder macosx build in between linux build  as macosx usually takes longer to build  allowing to make better use of build time (via pipelining)   * switch to XCode10  enabling TravisCI to support CoreAudio and CoreMidi
C,FreeRDP/Remmina,https://github.com/FreeRDP/Remmina/commit/72224beb722b8a742d1e39ef860a59dd644527cb,[.travis.yml],Gcrypt needs refactoring
C,Freescale/u-boot-fslc,https://github.com/Freescale/u-boot-fslc/commit/bb9a76ea67fe9b85961b50d9f95b772d6859edaa,[.travis.yml],travis: build HTML docs  Several patches delivered incorrect restructured text as documentation. We should be able to discover this in Travis CI.  Provide a build step for 'make htmldocs'.  Add required package graphviz.  Signed-off-by: Heinrich Schuchardt <xypron.glpk@gmx.de> Reviewed-by: Bin Meng <bmeng.cn@gmail.com>
C,Freescale/u-boot-fslc,https://github.com/Freescale/u-boot-fslc/commit/3eb7b78b42373a260eb6d9996840da36a256f46e,[.gitlab-ci.yml],gitlab: build HTML documentation  Several patches delivered incorrect restructured text as documentation. We should be able to discover this in Gitlab CI.  Provide a build step for 'make htmldocs'.  Signed-off-by: Heinrich Schuchardt <xypron.glpk@gmx.de> Reviewed-by: Bin Meng <bmeng.cn@gmail.com>
C,Freescale/u-boot-fslc,https://github.com/Freescale/u-boot-fslc/commit/e7c05b1fda999e5676289386a956dc56df03eec2,[.travis.yml],travis: Split the building into two parts  Buildman is used in two ways:  - to build a selection of boards (with no testing) - to build a single board (and run pytest)  The gitlab and azure scrips do this in separate places  but travis does not. To aid the refactoring process and keep the following patches in sync across all three environments  split the code out in travis as well.  Use the buildman -w option for the single board. It is easier to understand since it specifies the output directory directly. Also it avoids needing to look at the internal .bm-work directory.  This initially creates some duplicate code  but by the end of the series we have two completely different build paths with different arguments.  Signed-off-by: Simon Glass <sjg@chromium.org> Reviewed-by: Tom Rini <trini@konsulko.com>
C,GNOME/gimp,https://github.com/GNOME/gimp/commit/699b3c5c029b003f065000aecaafbe47a8e0adb5,[.gitlab-ci.yml],refactoring of the gitlab-ci.yml
C,GNOME/gtk,https://github.com/GNOME/gtk/commit/56f9cdd99d7f18b0bad1d491108571e5307d6836,[.gitlab-ci.yml],ci: Refactor the CI pipeline  We should have a single job for building both static and shared versions of GTK. On the other hand  having a separate job for the release build would be a plus.  Additionally  we shouldn't use an opaque script to build GTK; the only step in the process that requires hand-holding is running the tests suites under Xvfb  and having the build options visible from the YAML file gives us a better idea of what kind of build we're running.
C,JHUISI/charm,https://github.com/JHUISI/charm/commit/3ab4e30c9ff66d7d47db5f5e84322a6ecf84a647,[.travis.yml],Cleanup and test under multiple python versions
C,MapServer/MapServer,https://github.com/MapServer/MapServer/commit/901161f45eb48c86ce6488abccbc8bb16fa07378,[appveyor.yml],syntax cleanup
C,MoarVM/MoarVM,https://github.com/MoarVM/MoarVM/commit/e82982e3dce677090433ba54e21877001589927f,[.travis.yml],Clean up and add some comments to .travis.yml
C,NetHack/NetHack,https://github.com/NetHack/NetHack/commit/3cdf70bfb90d7834790b6ffbcc6f4df6193614d7,[.travis.yml],clean up the X11 settings in .travis.yml
C,OISF/suricata,https://github.com/OISF/suricata/commit/a472dec865c0cc57b81c394133f4e15c373d98c8,[.travis.yml],travis-ci: update for minimum Rust version of 1.33.  Plus: - Set latest known working stable Rust to 1.37.0. - Remove test for --disable-rust  as that as option is   not respected anymore. - Add test for old/unsupported version of Rust to make   sure ./configure fails. - Other minor cleanups.
C,OP-TEE/optee_os,https://github.com/OP-TEE/optee_os/commit/a0a7d92c0ebc7d4fc82608ec408ed01f99de32a4,[.travis.yml],ci: travis: cleanup for Ubuntu Trusty container-based environment  Now that the Travis container-based environment is running Ubuntu Trusty (14.04)  some downloads and build steps are not needed anymore. Use the tools that come with the distribution instead.  Signed-off-by: Jerome Forissier <jerome.forissier@linaro.org> Acked-by: Jens Wiklander <jens.wiklander@linaro.org>
C,OpenCPN/OpenCPN,https://github.com/OpenCPN/OpenCPN/commit/fecf255671716f42850c9c75d0761211a5c257bf,[appveyor.yml],A bit more cleanup  uncomment release build and fix commit about nsis
C,OpenCPN/OpenCPN,https://github.com/OpenCPN/OpenCPN/commit/0710a34336114380a4d0801bb5512cfbc63eb1f8,[.circleci/config.yml;appveyor.yml],ci: Add cloudsmith deployment  circleci builds + fixes.  Ensure that all artifacts have unique names so they can be deployed in a common namespace. Make the deployment script generic so it can be used on all builders.  Add configuration for circleci  similar to travis and re-using most of the build scripts.  Also: clean up various code duplication in the ci/ directory.  The cloudsmith deployment relies on a CLOUDSMITH_API_KEY variable which must be set in the build environment. Without this the deployment is silently ignored.
C,OpenCPN/OpenCPN,https://github.com/OpenCPN/OpenCPN/commit/aa9f8f48a16476875fc1a847fc0a6bc6a7326bac,[.circleci/config.yml;appveyor.yml],ci: Drop unused deployment keys  bugfixes and cleanup.
C,OpenDUNE/OpenDUNE,https://github.com/OpenDUNE/OpenDUNE/commit/46e30538e9935d0de4a2a4a964ea1920507e7a48,[.travis.yml],cleanup
C,OpenVPN/openvpn-gui,https://github.com/OpenVPN/openvpn-gui/commit/19f4d65bb8dfb904223f31b4c406812b9e8dec01,[.travis.yml],.travis.yml cleanup
C,OpenVPN/openvpn,https://github.com/OpenVPN/openvpn/commit/c5108260b3699ab01638452ef3c9bef5193e265a,[.travis.yml],travis-ci: cleanup  refactor  upgrade ssl libraries  Both "compiler" and "exclude" are redundant  so remove them. Add openssl-1.0.1u to build matrix. Enable explicit apt update (it was disabled by default in travis-ci).  Signed-off-by: Ilya Shipitsin <chipitsine@gmail.com>  -- v2: Add openssl-1.0.1u to build matrix (thanks to Steffan Karger)  Add explicit apt-get update (it was disabled by default in travis-ci) Acked-by: Steffan Karger <steffan.karger@fox-it.com> Message-Id: <20180527190057.3488-1-chipitsine@gmail.com> URL: https://www.mail-archive.com/openvpn-devel@lists.sourceforge.net/msg16898.html  Signed-off-by: Gert Doering <gert@greenie.muc.de>
C,OpenVSP/OpenVSP,https://github.com/OpenVSP/OpenVSP/commit/9eef58c8009a1ee80968ccee7a79dc82f0692f50,[.travis.yml],Clean up redundant variables  VSP_USE_SYSTEM_XXXX Default to false  no need to pass false.  Keep cpptest=false as it seemed to cause build problems.
C,PyTables/PyTables,https://github.com/PyTables/PyTables/commit/4f5a0d05eb8e54d983aa4b113335f1dc40a4858d,[appveyor.yml],Enforce hdf5=1.8.17 on appveyor. Do not use MKL.  Conda default hdf5 package is 1.8.16. Enforce 1.8.17. Do not use MKL for numexpr and numpy. This save a large download and almost one minute build time per build. Clean up appveyor.yml. CONDA_PY and CONDA_NPY are ignored by install script. PYTHON_VERSION and PYTHON_ARCH are used by install.ps1 to install matching conda env.
