ID,RepoName,CommitId,Redable,CommitMessage
2,AOMediaCodec/SVT-AV1,592a584827e16c741f94e986a526b5179ad65dda,1,"[WIP] CI: Add coding style check to Travis  cleanup (#293)  * CI: Add coding style check to Travis  cleanup  - Add coding style check (Borrowed from dav1d's [.gitlab-ci.yml](https://code.videolan.org/videolan/dav1d/blob/master/.gitlab-ci.yml)) - Fixes coding style error (trailing white space) in ""name: unittest""  For now the Style check is allowed to fail (waiting on #248)  but that should be reversed as soon as possible.  * CI: Rewrite Style check from dav1d to SVT-AV1  * CI: Fix SVT-AV1.git in Style check"
3,AOMediaCodec/SVT-AV1,6a208489ef1a07b02552b32c676ff50ac27d076d,0, 
6,AOMediaCodec/SVT-AV1,01faf65972f0181ade5df274dd8f3fa15eab0fc7,1,Travis: Use Python3 instead  Add clang10 build  Travis: Specify Linux as default os  remove unsupported pip cache Travis: git depth of 5 and clone quietly Travis: Add toolchain and llvm sourceline  add python3 stuff Travis: Combine coveralls and valgrind stages Travis: use switch case for installing CC Travis: Remove installing cpp-coveralls for all Travis: Move Anchor definitions down Travis: Fix Style Check job Travis: Make ffmpeg build static lib Travis: Binary Identical just checkout upstream master Travis: Print ccache stat and clean up cache Travis: Print out cpu info
7,AOMediaCodec/SVT-AV1,c86c3dc6352339c1a5744649d48fe989dafe062b,0, 
24,DPDK/dpdk,9135705bb81df0b529821a121004c41f176995ff,1,"ci: fix Travis config warnings  Reading https://config.travis-ci.com/ and using https://config.travis-ci.com/explore to check changes  we can cleanup some warnings reported by the config validation options in Travis.  Example on a job in master: https://travis-ci.com/DPDK/dpdk/builds/149537002/config  Build config validation: root: deprecated key doc_packages (anchor on a non-private key) root: deprecated key build_32b_packages (anchor on a non-private key) root: deprecated key libabigail_build_packages (anchor on a non-private key) root: deprecated key extra_packages (anchor on a non-private key) root: deprecated key aarch64_packages (anchor on a non-private key) root: key matrix is an alias for jobs  using jobs  For the ""(anchor on a non-private key)"" warnings  the Travis documentation [1] recommends prefixing private keys with _ (Travis schema is available at [2]).  The use of the ""matrix"" key is allowed  but it is just an alias to the ""jobs"" key.  1: https://docs.travis-ci.com/user/build-config-yaml#private-keys-as-yaml-anchors-and-aliases-and-external-tooling 2: https://github.com/travis-ci/travis-yml/blob/730a77f4028b91293a55c8c1c52fc72e64379dde/schema.json  Signed-off-by: David Marchand <david.marchand@redhat.com> Acked-by: Aaron Conole <aconole@redhat.com>"
25,DPDK/dpdk,347a240489fdda506ccc6a6f1676e876cdb5602b,0, 
100,astropy/astropy,0603ea338245876d18343c52ded8675fc6f8ede8,1,Further cleanup to CI configuration and fixed a typo in the docs
101,astropy/astropy,2bd893f9319e2f496066f0c156338195a8464086,0, 
108,bperez77/xilinx_axidma,2fec4f00a8641f103664e1612517b452774179e4,1,Fixed an issue with the Travis CI file.  The issue was that is was missing a navigation back up to the parent directory  so it was not actually building the driver. Also  some minor cleanup was done.
109,bperez77/xilinx_axidma,b7d2ea0264591b61c876e1d5be7efbe28d1f0b84,0, 
124,curl/curl,2c598cc77822b27eef5ee6c2810ed6da49ff95bf,1,travis: upgrade to bionic  clang-9  improve readability  Changes  partially to reduce build failures from external dependencies:  - Upgrade Ubuntu and drop unnecessary third-party repos.  - Properly clone apt config to ensure retries.  - Upgrade to clang-9 from the standard repos.  - Use Ubuntu 20.04 focal for the libssh build  use of ssh_get_publickey    fails on -Werror=deprecated-declarations in Ubuntu 18.04. Do not use    focal everywhere yet since Travis CI has not documented this option.    In focal  python-impacket (Py2.7) has been removed  leaving only    python3-impacket. Since it is only needed for SMB tests and not SSH     skip it for the libssh job since it might need more work.  - apt: Remove gcc-8 and libstdc++-8-dev  already installed via g++-8.  Non-functional cleanups:  - Simplify test matrix  drop redundant os and compiler keys.  - Deprecation fixes: remove sudo  rename matrix -> jobs.  - Every job has an 'env' key  put this key first in a list item.  Closes #5370
125,curl/curl,1753e4140b1eea1b26a9bab61cd36a645a9ba1fe,0, 
130,davatorium/rofi,8320ae43b11ab92bc68c0acfb755b9b65b6c261a,1,fix: Fix Travis CI builds and (some) tests  https://config.travis-ci.com/explore recommendations:   * Set the `os` key   * Removes the `sudo` key  Fixes:   * Missing dependencies  Cleanups:   * Set `build_command_prepend` and `build_command` to match the process     performed by the before_script and script.   * Removed unnecessary apt package dependencies.   * Ran the file through prettier (https://prettier.io/).  Enhancements:   * Bumps dist to Ubuntu 18.04 (Bionic)     * This bump allows us to install a few packages that were previously       installed manually.   * Added a Clang build.  TODOs:   * X11 tests are broken. I've commented them out for the time being.
131,davatorium/rofi,9a3d4b1d2ecbc0746c49ca7d822a17e8a5c44f44,0, 
132,davatorium/rofi,80fc8e16b2c4294e7ee282f7e1f5bce88c3129d7,1,Fix Travis CI builds (#1107)  * fix: Fix Travis CI builds and (some) tests  https://config.travis-ci.com/explore recommendations:   * Set the `os` key   * Removes the `sudo` key  Fixes:   * Missing dependencies  Cleanups:   * Set `build_command_prepend` and `build_command` to match the process     performed by the before_script and script.   * Removed unnecessary apt package dependencies.   * Ran the file through prettier (https://prettier.io/).  Enhancements:   * Bumps dist to Ubuntu 18.04 (Bionic)     * This bump allows us to install a few packages that were previously       installed manually.   * Added a Clang build.  TODOs:   * X11 tests are broken. I've commented them out for the time being.  * Create multiple jobs  Jobs (4 total):   Compilers:     * Clang     * GCC   Build tools:     * Autotools     * Meson  Enhancements: * DRY out the CI config.  Failure (seemingly related to `check`?) here: https://travis-ci.org/github/davatorium/rofi/jobs/680265096#L1125  * [Travis] More debug output  * [Travis] Add ldconfig  * [Travis] try to fix doxy tests.  * [Travis] Try to fix doxygen stuff.  * [Travis] Trying to fix meson doxy gen tests.  * Minor cleanups  Co-authored-by: Dave Davenport <qball@gmpclient.org>
133,davatorium/rofi,86cdcae55b4e8cbfaa3bbcd0c65eb5ea926a096d,0, 
176,hfp/libxsmm,a36c4cf4915f65d1410c3ae1bcc2254b990cd745,1,Install tests into artifacts package. Fixed attempt to run with sudo under OSX environment  but otherwise non-sudo (Travis-CI). Cleanup.
177,hfp/libxsmm,4b4f873a73c57c831d542679f708499dc1046849,0, 
200,ivmai/bdwgc,7807132efce0b6bc0238c8dd0164392aa315c19f,1,Travis CI: Refactoring (rename ENABLE_CPP variable to CONF_CPP) (fix commit 6c48bae)
201,ivmai/bdwgc,64eb548bf177bba106e05341b6e447afea93db32,0, 
230,karelzak/util-linux,dd68764c592dfc9992e1be333b2ce4bbd00eecb5,1,travis-ci: refactor and add .travis-functions.sh  Travis yaml syntax  where we can only use shell one-liners  is awful and ugly. We add a real shell script and source it from .travis.yml.  This commit squashes a lot changes because we don't want to pollute history with this meta CI stuff.  Highlights of this commit:   - enable make distcheck   - cleanup configure options (enable all progs  with python and docs)   - shorter config.log dump   - out-of-tree build supported   - workaround broken libtool on travis host   - now it's easy to add temporary debugging stuff   - testing locally is possible now  What are we testing now:   - gcc and clang compiler   - configure mostly with --enable-all-programs  --with-python and     --enable-gtk-doc   - make check with and without root permissions   - make distcheck   - make install (with and without --prefix as well as DESTDIR=...)   - usually we always build in-tree but distcheck does out-of-tree  What do we want/expect at all:   - This travis setup is intended to always work without fixing or     updating this build script all the time. Thats why we only use a     few configure flags.   - We want to avoid predictable failures on travis host to not make     developers tired of this machinery. Any tested feature which is     known to be (sometimes) broken should be fixed or skipped as soon     as possible.   - If this works like wanted then in future almost any point in master     commit history should at least survive the build and common tests     on this reference host/arch. Moreover we will have a comparable      deterministic build log history. This could make bisecting real     bugs easier.   - It's not our goal to test any kind of config flags  host setup and     arch combination. This would be done better by external build     scripts which do not live within the project itself.   - Of course this machinery can be also used to reproduce bugs with     more exotic config and host setup by pushing a debug branch with     modified travis script to github.  Signed-off-by: Ruediger Meier <ruediger.meier@ga-group.nl>
231,karelzak/util-linux,710ed55dcde95cad66a8f9bd2a7ecd223f14d653,0, 
262,lsh123/xmlsec,c882d225f87194a8d457ad61ee23ff4befdb86c7,1,cleanup and fix travis CI (#295)
263,lsh123/xmlsec,51dc3abd575d7ea7ed5ab33188d735520d558f94,0, 
290,moneymanagerex/moneymanagerex,cf99bf9d021a3846b5c5156fd02a616a9b9185d3,1,fix(v134): travis cleanup
291,moneymanagerex/moneymanagerex,ccb3248a07426e95e76ee424cbd6052e0b0a5e1c,0, 
308,netdata/netdata,8f6b2bba3e0d82b27b26b7da1022e49fe9e09482,1,Integrity testing: Check published kickstart files integrity (#5689)  * netdata/packaging/ci: Integrity testing  Introduce a scriptlet that validates kickstart integrity in my-netdata.io against the ones in the repo. Run this through the pipeline on a scheduled manner. Will refine the conditionals later  once i verify the stage is built up as expected  * netdata/packaging/ci: remove conditionals first  * netdata/packaging/ci: Adjust the names to something more appropriate. Run it along with nightlies  * netdata/packager/ci: Cleanup checksum validation for kickstart files (continued)  1) merge validate_kickstart_integrity.sh and tests/installer/checksums.sh 2) run checksums at the new point on the pipeline 3) Change that unstable gitignore check and use a more file-agnostic check that depends only on git that we already require 4) Do not run the kickstart validation on the online website everywhere  only on the nightly runs  * netdata/packaging/ci: First rounf of PR feedback adjustments  1) changes wordings as recommended 2) pass file info in parameter and use it in the wordings 3) as shellcheck suggests  use -n instead of ! -z. Makes sense actually  ! -z is kind of reverse logic that confuses  More adjustments on a follow up commit  * netdata/packaging/ci: Enable slack integration for kickstart validation  We want to be notified in a timely manner when the kickstart on the website is outdated. Added a wrapper for incoming webhooks from slack and instead of failing the build we notify slack  Added a debug message in the end of the script to validate the process which i will remove on a follow up commit  * netdata/packaging/ci: fixes fix sourcing path missed the /  this new keyboard is a pain :p
309,netdata/netdata,9c807630ea5e10144892a5bfc5379b36c2a63e8d,0, 
314,netdata/netdata,a2bd5e1bc93bd3c77c0069cf1c4c18de0405843f,1,netdata/packaging: Add purging logic for package cloud repositories (#6732)  * netdata/packaging: Add purging logic for package cloud repositories  1) Introduce scriptlet that is executing the cleanup on a designated repository  with a designated retention period 2) Add .travis.yml configuration to execute purging logic with the right config on the nightly operations  * netdata/packaging: uncomment the temp dir clean up  * netdata/packaging: fix codacy  * netdata/packaging: [ci skip] Purge only -edge and -devel packages
315,netdata/netdata,4243c2134d912363d430a66cfc18d464022cb93b,0, 
320,netdata/netdata,71795877c697928882d72452a5516938fb0d59bf,1,Consolidate and clean up artifact validation. (#8352)  * Consolidate and clean up artifact validation.  This consolidates the two separate 'Artifacts Validation' stages we have in Travis into a single stage a s well as fixing an error in the handling of the lifecycle checks.  Overall  this should improve build times for Travis CI checks due to a deduplication of certain lifecycle checks and an overall increase in the parallelizability of the jobs within the stage.  * Fix lifecycle check retry logic.
321,netdata/netdata,bbc088fde9dadc4d7949a7a538a9c40aced142c2,0, 
334,openresty/lua-nginx-module,6e5578cc5a6dde1fbb921a617de20bbc2a2f3ac2,1,bugfix: tcpsock:connect(): when the nginx resolver's send() immediately fails without yielding  we didn't clean up the coroutine ctx state properly.  This might lead to segmentation faults.
335,openresty/lua-nginx-module,77a285163689835d6a6680e345af1a4ada2d12c8,0, 
336,openresty/lua-nginx-module,36d6ef406b98c63f2f47d1deb790fc8f32615e0f,1,bugfix: tcpsock:connect(): when the nginx resolver's send() immediately fails without yielding  we didn't clean up the coroutine ctx state properly.  This might lead to segmentation faults.  thanks xiaocang for the discovery.  Signed-off-by: Yichun Zhang (agentzh) <agentzh@gmail.com>
337,openresty/lua-nginx-module,77a285163689835d6a6680e345af1a4ada2d12c8,0, 
348,pgbouncer/pgbouncer,10efab54d7ac40361e999469bf410cb056905a65,1,"Fix reporting of adns implementation in configure  This was slightly broken by 748c83e5d8b05448725ce8a69213ed620a53d431 in the sense that configure would report both  say  c-ares and evdns as ""yes"" without indication which one would actually be used.  Clean that logic up a bit and report the actually used implementation at the end of configure in a clearer way.  Also improve the documentation in README.md around this.  Also clean up the build matrix in .travis.yml and remove a redundant configuration."
349,pgbouncer/pgbouncer,97b2bbd5640590ca5ed7df63c7cdbbab90c192a7,0, 
360,pocoproject/poco,6a49be40bd4c86932642d84c9523ba93370955ca,1,Refactor for checking C++11 availability  besides Apache Server version (#2382)  * Refactor for checking C++11 availability  besides Apache Server version  * Add postgres binary to PATH for fixing the build on Travis CI
361,pocoproject/poco,9887e78b5e4c05794684c625fd0290d419086ca7,0, 
368,pyca/pynacl,42ef7df6a886596834c626b3cf0a4f9a6459f9f3,1,drop 2.6 support  fix a broken image. (#219)  * officially drop support for 2.6  clean up a broken image  * add changelog entry  * remove py26 testing from travis
369,pyca/pynacl,f89d791ca4bfdc6139e9b25f373054b0d208c828,0, 
370,pyca/pynacl,9017e68dcdb6ae1e56fb5d000c92f65c7ddc9bd8,1,Try to fix travis + cleanup dead code (#325)  * Try to fix travis + cleanup dead code  * Attempt to remove all this dreck  * Match our pythons to our toxenvs
371,pyca/pynacl,fc519765065a7fca8cb01c063271b8c17d3b767b,0, 
390,syslog-ng/syslog-ng,e42fe383b8fbd7cd583023cc902d0912de6eec1f,1,.travis.yml: enable all supported checks  errors to the end of build log  Enable checking all unit tests via DISTCHECK_CONFIGURE_FLAGS. SQL and systemd is still untested because of old packages (proposed fix on a different branch by compiling them from source).  Clean up build log by showing errors at the end.  Signed-off-by: bkil-syslogng <tamas.nagy@balabit.com>
391,syslog-ng/syslog-ng,f29aa22aef72d1528c82bc8f31f33d5e82c45e24,0, 
398,thestr4ng3r/chiaki,cf5fe302198d242730874d9d194a43a022858ec5,1,Restructure and fix Travis
399,thestr4ng3r/chiaki,03f357f9eb656ceb76b9e4f5ba3e27f89381fad6,0, 
468,Bareflank/hypervisor,356c8b1ceba1f433358df9abbc969771b43a7d4f,1,Dev (#479)  * ELF loader cleanup / missing unit tests  Signed-off-by: Rian Quinn <“rianquinn@gmail.com”>  * bug fixes  Signed-off-by: Rian Quinn <“rianquinn@gmail.com”>
469,Bareflank/hypervisor,f3b3b984cb93de5a4332be1ab66e03b65400077d,0, 
492,Cockatrice/Cockatrice,1565309146916323a9d7f36acdd07829d07e2f1f,1,enable caching for ci (#2799)  * enable cache  * caching on mac  * fix ci caching on mac  * fix  * add mac cache  * added homebrew cache and pretty print yaml (+ structural ordering)  * cleanup  * fix ccache on mac  * testing workaround  https://github.com/travis-ci/travis-ci/issues/7456#issuecomment-296505058  * try xcode7.3 instead of workaround  * cache timout value  more time for cache to upload
493,Cockatrice/Cockatrice,b05ed0376a88a0f553ddc2fcfcf7c20881a5577d,0, 
496,Cockatrice/Cockatrice,57f15a9e984674777e7848fa09d101511428380f,1,"fix building packages on travis-docker (#3441)  * add docker compilation to travis  add new matrix entry in .travis.yml for compiling on 18.04 add Dockerfile in .ci to build ubuntu 18.04 inside docker remove release entry for uvuntu 16.04 to not conflict refactor .travis.yml refactor travis-comile.sh merge travis-dependencies.sh into the travis.yml remove travis-dependencies.sh  * enable debugging on travis-compile.sh  * set ubuntu16 buildtype to ""Debug""  set buildtype Debug for as requirement for ""test"" add --debug and --release flags to travis-compile.sh  * make output prettier  edit the format warning message and clangify.sh output  * fix clangify.sh  fix --cf-version flag fix directory argument parsing add directory parsing details to --help add examples to --help  * test making packages  move dockerfile for bionic to make room for possibly other files add missing file dependency set macos brew to use protobuf --without-python@2  * remove test  * rm old Dockerfile"
497,Cockatrice/Cockatrice,72ed98e4042a09bcb4f7374a1f0ce33de2d68672,0, 
540,MariaDB/server,7b6e8672889cf3eb06138ec0a3fe53049310d918,1,MDEV-16213: Further improvements to the Travis config  * Exclude some storage engines from Travis to conserve   build time and disk usage per job. Exluded:   TOKUDB MROONGA SPIDER OQGRAPH PERFSCHEMA SPHINX * Increase travis_wait from default 20m to 30 for MTR * Use travis_wait for long running MTR command (wait   30m instead of default 20m) * Increase testcase-timeout to 20m for OSX  2m for Linux * Set ccache size only on Linux  adjust timeout again * Increase cache push timeout to 5 mins * Remove AWS defines  not needed * Remove commented out ASAN rules  has been disabled   previously since it has a significant impact on job   runtime  should be used more in buildbot instead * Misc cleanup and fixes
541,MariaDB/server,1d5220ae23f96a2d4b20e627dc5338525bfede84,0, 
606,RigsOfRods/rigs-of-rods,cc2b7f3656a2aa814c9510a968e40c0735bcbb59,1,[Tools] Travis fix and cleanup
607,RigsOfRods/rigs-of-rods,e2e62c680721357858ae8a37b120bc60e8a3f384,0, 
670,bareos/bareos,7cb6a6d2b43ed3d2860753e447944e92711b6d7a,1,travis: adapt test for dist=trusty  Ubuntu 14.04 (Trusty) is now the default Linux distribution for Travis testing. Changing the default distribution has caused or Travis test to fail. In essance  only creating the local package repository with Packages instead of Packages.gz have been required. Anyhow  used this it cleanup the travis configuration. Also fixed the distribution to trusty.
671,bareos/bareos,dab76b78dccdf4d13e3cbef663057a78ddd19b4a,0, 
672,bjorn/tiled,a95f2454b16048a5bd2b98548cfbfa290768ee8f,1,Travis CI: Also skip cleanup for GitHub releases  Might fix upload of file.
673,bjorn/tiled,6c6d5006d5def1a98c00d3a7d7c65516027fa899,0, 
698,cmu-db/terrier,10818ffb90891fe1a10f2a6959b4649f68d5327d,1,Travis/Jenkins trigger support (#183)  * a bit more parity with travis: only install curl in the coverage case where we actually need it  * move the testing stages to Jenkins and set a webhook trigger from travis  * brew does not like being invoked as root  * fix url  * use deleteDir() to clean up  * accept the trigger from travis  add a buildDiscarder  * add LLVM_DIR for macOS builds  whitespace fix for archiveartifacts step  * more descriptive text for the macOS stages  * revert 83370f2798007102e576d84b407e4841d33e26c7.  it's not done this way...  * don't force llvm into PATH for the macOS targets  let cmake and LLVM_DIR handle it  * BUILD_NUMBER instead of BUILD_TAG for Jenkins reference in Coveralls.  * Move Coveralls back to Travis.  * Fix Coveralls.  * Try again for Coveralls on Jenkins.  * Attempt to match behavior of:  https://www.rubydoc.info/gems/coveralls/Coveralls%2FConfiguration%2Eset_service_params_for_jenkins  in order to get Coveralls working on Jenkins.  * Revert to coverage on Travis.  * But really  fix Coveralls on Travis.  * Coveralls  I don't like you.
699,cmu-db/terrier,a059d4ac846f371469f40c0768c050978af9175e,0, 
704,cocos2d/cocos2d-x,33b820a5afafb5843752184690373831d64cc9db,1,fixed #2105: Refactoring travis build script.
705,cocos2d/cocos2d-x,03154d239c2954d1617fcc4f03560b01c35887b7,0, 
706,cocos2d/cocos2d-x,1aad7e927db0160bbe407e30be68443abef56c48,1,fixed #2105: Refactoring travis build script.
707,cocos2d/cocos2d-x,8ab1c84f7a7ea1fd04c016803072232b551b0c1d,0, 
710,commaai/openpilot,28af44d1997ab57602d43593b141b11e0e01b952,1,GitHub Actions for CI (#986)  * basic github actions config  * submodules  * pwd  * docker save  * unit tests  * add rest of tests  * fix unit tests  * artifacts  * container name  * does this work?  * no --rm when we want artifacts  * clean up  * fix artifact paths  * name  * rerun travis  * remove travis config
711,commaai/openpilot,855abbd99ee39b5b308226c2261fb2c7b1a40c14,0, 
718,crankyoldgit/IRremoteESP8266,af1d2a8f8d3808aa58e65aba73037e9ca403b8dc,1,Create LGACSend.ino (#289)  examle for controling LG AC  Update LGACSend.ino  General code style cleanups  Lots of white space  indentation and comment fixups. Change a number of 'int's to 'unsigned int's. Ensure temperature can't go below zero.  Add copyright statement.  changes required by crankyoldgit  Add chaeplin copyright  Fix lint errors. Increase baud rate.  More lint/style fixes.
719,crankyoldgit/IRremoteESP8266,1bb484b6c163cae76a877f5fd9ec5dc69a6b3ef8,0, 
720,crankyoldgit/IRremoteESP8266,be7e36fa9644708812c0c0b7b622a88142e14e61,1,Initial commit of IRMQTTServer example code. (#316)  * Initial commit of the IRMQTTServer example code. New code example of how to send IR commands via MQTT and HTTP.  - Support sending most of the simple IR codes. e.g. NEC/Samsung/Sony etc. - Support sending GlobalCache codes. - Support sending Kelvinator A/C codes. - Web form examples for sending codes. - Url examples for sending codes. - Instructions in the comments. - Use WifiManager to set up the network for the device. - Support OTA firmware updates.  Yes  this is more a real project than just example code.  * Add WifiManager and PubSubClient libraries for IRMQTTServer - Add to travis - Add to instructions for mere mortals. - Various minor formatting improvements to the main HTML page. - Tweak the platformio config to automatically import the required libs. - Add support for sending repeats of simple IR messages. - Clean up code for default bits. - [Bug] Fix parsing strings for MQTT non-simple IR messages. - Add examples of repeats and minor text clean ups. - Use a unique clientid for mqtt to avoid future issues. - Sort the IR protocol types in the form selector. - Fix typos. - Tweak the main HTML page formatting.
721,crankyoldgit/IRremoteESP8266,2c24c15b8847f7a8e2cc3b4cdcad03b09e549b29,0, 
740,danmar/cppcheck,fe2885e430320343c45928e362080a61d4db8b13,1,cert.py: Refactor arguments handling (#2044)  * cert.py: Add '--quiet' option and test  Main sentinel also was required.  * travis.yml: Install pytest with --user  To avoid possible conflicts with system packages later.  * Quickfix
741,danmar/cppcheck,cdb0e8322cf42ecf13fa73931a1fee151dc4cbb2,0, 
746,dev-cafe/cmake-cookbook,e3519d9093b75edf1e129b6b12b1ad00030e8ee6,1,Cache anaconda on Travis (#263)  * Cache anaconda on Travis  * Fix problem with existing directory  * Some plumbing  * Clean up
747,dev-cafe/cmake-cookbook,86348cc3b0426b0ecb844f2ce4361167f1f20415,0, 
750,eclipse/upm,bbb31fcab238f15eec0d95cbb2d270b67362a2ba,1,travis-ci: Fix for non-sticky clang env setting.  The env CC=clang builds were previously getting overridden for each build since the language: cpp defaults gcc/g++ (travis-ci was not building UPM w/clang). This commit explicitly adds the clang compiler to the build matrix.      * Specify gcc/clang in the compiler directive      * Add a node.js 0.10 entry      * Add a few debug messages      * General cleanup of .travis.yml      * Add the upm make install step for completeness  Signed-off-by: Noel Eck <noel.eck@intel.com>
751,eclipse/upm,5467620bf77ea24346829c65ff2e1c61d74b19da,0, 
